family,filename,map_path,astar_path_length,astar_cost,astar_expansions,mm_path_length,mm_cost,mm_expansions,cost_match,solvable_match,expansion_diff,expansion_ratio,winner
open,open_1.txt,maps/open/open_1.txt,20,19,56,20,19,74,True,True,18,1.3214285714285714,A*
open,open_10.txt,maps/open/open_10.txt,40,39,216,40,39,288,True,True,72,1.3333333333333333,A*
open,open_11.txt,maps/open/open_11.txt,44,43,311,44,43,314,True,True,3,1.0096463022508038,A*
open,open_12.txt,maps/open/open_12.txt,22,21,62,22,21,68,True,True,6,1.096774193548387,A*
open,open_13.txt,maps/open/open_13.txt,30,29,102,30,29,157,True,True,55,1.5392156862745099,A*
open,open_14.txt,maps/open/open_14.txt,24,23,81,24,23,97,True,True,16,1.1975308641975309,A*
open,open_15.txt,maps/open/open_15.txt,18,17,51,18,17,54,True,True,3,1.0588235294117647,A*
open,open_16.txt,maps/open/open_16.txt,24,23,79,24,23,81,True,True,2,1.0253164556962024,A*
open,open_17.txt,maps/open/open_17.txt,32,31,100,32,31,112,True,True,12,1.12,A*
open,open_18.txt,maps/open/open_18.txt,35,34,135,35,34,151,True,True,16,1.1185185185185185,A*
open,open_19.txt,maps/open/open_19.txt,27,26,154,27,26,133,True,True,-21,0.8636363636363636,MM
open,open_2.txt,maps/open/open_2.txt,57,56,385,57,56,579,True,True,194,1.5038961038961038,A*
open,open_20.txt,maps/open/open_20.txt,15,14,44,15,14,49,True,True,5,1.1136363636363635,A*
open,open_21.txt,maps/open/open_21.txt,17,16,60,17,16,51,True,True,-9,0.85,MM
open,open_22.txt,maps/open/open_22.txt,48,47,314,48,47,413,True,True,99,1.3152866242038217,A*
open,open_23.txt,maps/open/open_23.txt,43,42,197,43,42,221,True,True,24,1.1218274111675126,A*
open,open_24.txt,maps/open/open_24.txt,15,14,37,15,14,37,True,True,0,1.0,tie
open,open_25.txt,maps/open/open_25.txt,66,65,373,66,65,787,True,True,414,2.1099195710455763,A*
open,open_26.txt,maps/open/open_26.txt,45,44,154,45,44,317,True,True,163,2.0584415584415585,A*
open,open_27.txt,maps/open/open_27.txt,36,35,123,36,35,194,True,True,71,1.5772357723577235,A*
open,open_28.txt,maps/open/open_28.txt,28,27,116,28,27,68,True,True,-48,0.5862068965517241,MM
open,open_29.txt,maps/open/open_29.txt,43,42,182,43,42,253,True,True,71,1.39010989010989,A*
open,open_3.txt,maps/open/open_3.txt,47,46,198,47,46,409,True,True,211,2.0656565656565657,A*
open,open_30.txt,maps/open/open_30.txt,27,26,87,27,26,65,True,True,-22,0.7471264367816092,MM
open,open_4.txt,maps/open/open_4.txt,26,25,89,26,25,94,True,True,5,1.0561797752808988,A*
open,open_5.txt,maps/open/open_5.txt,23,22,98,23,22,88,True,True,-10,0.8979591836734694,MM
open,open_6.txt,maps/open/open_6.txt,51,50,288,51,50,503,True,True,215,1.7465277777777777,A*
open,open_7.txt,maps/open/open_7.txt,11,10,30,11,10,23,True,True,-7,0.7666666666666667,MM
open,open_8.txt,maps/open/open_8.txt,11,10,32,11,10,24,True,True,-8,0.75,MM
open,open_9.txt,maps/open/open_9.txt,33,32,94,33,32,105,True,True,11,1.1170212765957446,A*
bottleneck,bottleneck_1.txt,maps/bottleneck/bottleneck_1.txt,67,66,660,67,66,1032,True,True,372,1.5636363636363637,A*
bottleneck,bottleneck_10.txt,maps/bottleneck/bottleneck_10.txt,42,41,330,42,41,238,True,True,-92,0.7212121212121212,MM
bottleneck,bottleneck_11.txt,maps/bottleneck/bottleneck_11.txt,43,42,429,43,42,621,True,True,192,1.4475524475524475,A*
bottleneck,bottleneck_12.txt,maps/bottleneck/bottleneck_12.txt,51,50,347,51,50,633,True,True,286,1.824207492795389,A*
bottleneck,bottleneck_13.txt,maps/bottleneck/bottleneck_13.txt,17,16,49,17,16,31,True,True,-18,0.6326530612244898,MM
bottleneck,bottleneck_14.txt,maps/bottleneck/bottleneck_14.txt,61,60,665,61,60,969,True,True,304,1.457142857142857,A*
bottleneck,bottleneck_15.txt,maps/bottleneck/bottleneck_15.txt,46,45,509,46,45,452,True,True,-57,0.888015717092338,MM
bottleneck,bottleneck_16.txt,maps/bottleneck/bottleneck_16.txt,54,53,446,54,53,744,True,True,298,1.6681614349775784,A*
bottleneck,bottleneck_17.txt,maps/bottleneck/bottleneck_17.txt,40,39,292,40,39,525,True,True,233,1.797945205479452,A*
bottleneck,bottleneck_18.txt,maps/bottleneck/bottleneck_18.txt,57,56,436,57,56,697,True,True,261,1.598623853211009,A*
bottleneck,bottleneck_19.txt,maps/bottleneck/bottleneck_19.txt,59,58,740,59,58,825,True,True,85,1.114864864864865,A*
bottleneck,bottleneck_2.txt,maps/bottleneck/bottleneck_2.txt,19,18,66,19,18,84,True,True,18,1.2727272727272727,A*
bottleneck,bottleneck_20.txt,maps/bottleneck/bottleneck_20.txt,28,27,178,28,27,193,True,True,15,1.0842696629213484,A*
bottleneck,bottleneck_21.txt,maps/bottleneck/bottleneck_21.txt,40,39,145,40,39,128,True,True,-17,0.8827586206896552,MM
bottleneck,bottleneck_22.txt,maps/bottleneck/bottleneck_22.txt,57,56,556,57,56,874,True,True,318,1.5719424460431655,A*
bottleneck,bottleneck_23.txt,maps/bottleneck/bottleneck_23.txt,14,13,35,14,13,35,True,True,0,1.0,tie
bottleneck,bottleneck_24.txt,maps/bottleneck/bottleneck_24.txt,50,49,296,50,49,540,True,True,244,1.8243243243243243,A*
bottleneck,bottleneck_25.txt,maps/bottleneck/bottleneck_25.txt,28,27,155,28,27,186,True,True,31,1.2,A*
bottleneck,bottleneck_26.txt,maps/bottleneck/bottleneck_26.txt,38,37,297,38,37,369,True,True,72,1.2424242424242424,A*
bottleneck,bottleneck_27.txt,maps/bottleneck/bottleneck_27.txt,34,33,147,34,33,212,True,True,65,1.4421768707482994,A*
bottleneck,bottleneck_28.txt,maps/bottleneck/bottleneck_28.txt,26,25,93,26,25,118,True,True,25,1.2688172043010753,A*
bottleneck,bottleneck_29.txt,maps/bottleneck/bottleneck_29.txt,25,24,116,25,24,126,True,True,10,1.0862068965517242,A*
bottleneck,bottleneck_3.txt,maps/bottleneck/bottleneck_3.txt,21,20,53,21,20,25,True,True,-28,0.4716981132075472,MM
bottleneck,bottleneck_30.txt,maps/bottleneck/bottleneck_30.txt,50,49,249,50,49,471,True,True,222,1.891566265060241,A*
bottleneck,bottleneck_4.txt,maps/bottleneck/bottleneck_4.txt,46,45,462,46,45,665,True,True,203,1.4393939393939394,A*
bottleneck,bottleneck_5.txt,maps/bottleneck/bottleneck_5.txt,43,42,129,43,42,373,True,True,244,2.891472868217054,A*
bottleneck,bottleneck_6.txt,maps/bottleneck/bottleneck_6.txt,71,70,666,71,70,934,True,True,268,1.4024024024024024,A*
bottleneck,bottleneck_7.txt,maps/bottleneck/bottleneck_7.txt,17,16,65,17,16,42,True,True,-23,0.6461538461538462,MM
bottleneck,bottleneck_8.txt,maps/bottleneck/bottleneck_8.txt,54,53,581,54,53,883,True,True,302,1.5197934595524958,A*
bottleneck,bottleneck_9.txt,maps/bottleneck/bottleneck_9.txt,67,66,478,67,66,964,True,True,486,2.01673640167364,A*
maze,maze_1.txt,maps/maze/maze_1.txt,29,28,38,29,28,69,True,True,31,1.8157894736842106,A*
